i,x,y,z,r,theta
103,60,31,0,67,207
104,-75,-3,0,75,3
105,-98,-177,0,202,62
106,8,57,0,57,262
107,9,53,0,53,260
108,-83,-85,0,118,46
109,-39,47,0,61,309
110,1,-41,0,41,92
111,37,-2,0,37,177
112,-41,-49,0,63,51
113,-160,-70,0,174,24
114,-60,218,0,226,285
115,4,138,0,138,268
116,-101,7,0,101,356
117,117,-115,0,164,136
118,92,-59,0,109,148
119,-134,-137,0,191,46
120,-244,17,0,244,356
121,48,22,0,52,204
122,-37,-67,0,76,62
123,231,-37,0,233,171
124,-50,-187,0,193,76
125,-146,-26,0,148,11
126,-229,-66,0,238,17
127,-81,177,0,194,294
128,28,29,0,40,226
129,-97,55,0,111,330
130,-2,57,0,57,272
131,-82,120,0,145,304
132,190,-25,0,191,173
133,73,-131,0,149,120
134,-85,-110,0,139,53
135,-27,-178,0,180,82
136,-47,-109,0,118,67
137,-209,-1,0,209,1
138,-139,-90,0,165,33
139,168,89,0,190,207
140,94,-76,0,120,142
141,7,-95,0,95,95
142,-135,2,0,135,359
143,-34,7,0,34,348
144,-16,115,0,116,277
145,-73,118,0,138,301
146,129,71,0,147,208
147,-132,43,0,138,341
148,42,65,0,77,237
149,94,-205,0,225,115
150,-56,118,0,130,295
151,115,-207,0,236,120
152,-38,-52,0,64,54
153,17,174,0,174,264
154,143,89,0,168,211
155,218,41,0,221,190
156,57,-103,0,117,119
157,-93,-25,0,96,16
158,14,174,0,174,265
159,98,-68,0,119,146
160,-245,-32,0,247,8
161,-62,-71,0,94,49
162,111,61,0,126,208
163,-81,1,0,81,359
164,-113,16,0,114,351
165,106,-77,0,131,145
166,-127,-25,0,129,12
167,-163,27,0,165,350
168,-48,85,0,97,299
169,110,-198,0,226,120
170,39,10,0,40,194
171,109,5,0,109,182
172,24,48,0,53,243
173,124,-42,0,130,162
174,-31,-27,0,41,42
175,204,75,0,217,200
176,-63,52,0,81,320
177,89,105,0,137,229
178,134,-137,0,191,135
179,-44,29,0,52,326
180,51,-152,0,160,109
181,-58,-93,0,109,59
182,39,180,0,184,257
183,-126,-197,0,233,58
184,-142,-77,0,161,29
185,-140,-162,0,214,50
186,226,59,0,233,194
187,28,-136,0,138,102
188,-43,-9,0,43,12
189,-26,13,0,29,333
190,-181,-126,0,220,35
191,57,-106,0,120,119
192,31,42,0,52,233
193,34,94,0,99,250
194,-52,109,0,120,295
195,-69,13,0,70,349
196,-85,53,0,100,328
197,168,55,0,176,198
198,216,-116,0,245,152
199,49,69,0,84,234
200,-78,127,0,149,301
201,-87,19,0,89,347
202,-61,75,0,96,309
203,15,-79,0,80,101
204,29,245,0,246,263
205,-128,-103,0,164,39
206,138,73,0,156,207
207,-37,-94,0,101,69
208,67,41,0,78,211
209,-216,-69,0,226,18
210,-124,43,0,131,340
211,-169,-99,0,195,31
212,95,46,0,105,205
213,-54,-70,0,88,53
214,96,148,0,176,237
215,61,112,0,127,241
216,-33,-69,0,76,65
217,-106,-94,0,141,42
218,70,-45,0,83,148
219,-75,116,0,138,302
220,-128,124,0,178,315
221,-84,207,0,223,292
222,109,138,0,175,231
223,57,-27,0,63,155
224,139,-158,0,210,132
225,54,-53,0,75,136
226,34,29,0,44,220
227,-10,48,0,49,281
228,4,68,0,68,266
229,41,-100,0,108,113
230,-15,66,0,67,282
231,93,-98,0,135,134
232,57,-54,0,78,137
233,-195,-31,0,197,10
234,1,75,0,75,269
235,-109,38,0,115,340
236,50,-35,0,61,146
237,99,-218,0,239,115
238,-49,-19,0,52,22
239,-212,-41,0,215,11
240,-8,-215,0,215,88
241,62,-185,0,195,109
242,-93,172,0,195,298
243,-103,-164,0,193,58
244,58,-93,0,109,122
245,73,71,0,101,224
246,215,-81,0,229,160
247,144,-43,0,150,164
248,-95,161,0,186,300
249,-65,-69,0,94,47
250,10,-48,0,49,102
251,-175,144,0,226,320
252,85,-46,0,96,152
253,-112,7,0,112,356
254,157,22,0,158,187
255,129,110,0,169,220
256,-110,-206,0,233,62
257,115,100,0,152,221
258,-127,-63,0,141,27
259,111,158,0,193,234
260,-47,49,0,67,313
261,-239,-42,0,242,10
262,-58,-37,0,68,33
263,-220,57,0,227,345
264,105,-20,0,106,170
265,-24,57,0,61,292
266,131,-76,0,151,150
267,89,-44,0,99,154
268,44,-124,0,131,110
269,25,117,0,119,257
270,-21,55,0,58,290
271,-56,-129,0,140,67
272,-22,25,0,33,311
273,37,-241,0,243,99
274,30,67,0,73,245
275,-77,-197,0,211,69
276,-113,29,0,116,345
277,-105,134,0,170,308
278,-107,92,0,141,319
279,-43,54,0,69,308
280,189,-94,0,211,154
281,-53,2,0,53,357
282,147,-34,0,150,167
283,-12,-95,0,95,83
284,19,-210,0,210,96
285,-6,139,0,139,272
286,43,41,0,59,223
287,84,3,0,84,182
288,-7,148,0,148,272
289,87,191,0,209,245
290,154,-100,0,183,148
291,112,70,0,132,212
292,-10,-90,0,90,84
293,23,-95,0,97,104
294,144,59,0,155,202
295,196,117,0,228,210
296,227,16,0,227,184
297,-25,152,0,154,279
298,-63,-67,0,91,47
299,-20,-34,0,39,60
300,-166,-170,0,237,46
301,163,73,0,178,204
302,82,47,0,94,209
303,-114,-113,0,160,45
304,-100,-180,0,205,61
305,38,-22,0,43,150
306,45,-54,0,70,130
307,-149,-6,0,149,3
308,160,-86,0,181,152
309,-67,-36,0,76,29
310,-27,53,0,59,296
311,-45,111,0,119,292
312,56,-84,0,100,124
313,-39,103,0,110,290
314,44,28,0,52,212
315,-3,80,0,80,272
316,16,198,0,198,265
317,70,-137,0,153,118
318,103,21,0,105,191
319,-97,170,0,195,299
320,-35,52,0,62,303
321,-151,-118,0,191,39
322,-49,-139,0,147,71
323,101,-135,0,168,127
324,3,-39,0,39,95
325,28,-55,0,61,117
326,-29,144,0,146,281
327,-81,-113,0,139,55
328,91,107,0,140,229
329,-122,-21,0,123,10
330,-71,-14,0,72,12
331,105,155,0,187,235
332,73,-218,0,229,109
333,136,136,0,192,225
334,15,43,0,45,250
335,-130,-38,0,135,17
336,108,-75,0,131,146
337,214,-62,0,222,164
338,-81,76,0,111,316
339,20,54,0,57,249
340,-108,-14,0,108,8
341,117,172,0,208,235
342,34,76,0,83,245
343,-14,-43,0,45,72
344,121,12,0,121,185
345,12,-41,0,42,107
346,10,84,0,84,263
347,188,-71,0,200,160
348,125,63,0,139,206
349,134,102,0,168,217
350,15,86,0,87,260
351,-51,61,0,79,309
352,8,39,0,39,258
353,204,-129,0,241,148
