i,x,y,z,r,theta
630,-15,91,0,92,279
631,-49,-73,0,87,57
632,38,81,0,89,244
633,10,92,0,92,263
634,66,-60,0,89,138
635,-43,81,0,91,297
636,45,77,0,89,239
637,69,49,0,84,215
638,-8,93,0,93,274
639,-34,86,0,92,291
640,2,94,0,94,268
641,-85,9,0,85,353
642,-24,90,0,93,284
643,1,94,0,94,269
644,-81,31,0,86,339
645,-8,-93,0,93,86
646,-4,94,0,94,272
647,81,23,0,84,195
648,71,49,0,86,214
649,-66,-57,0,87,41
650,22,92,0,94,256
651,-6,95,0,95,273
652,-80,34,0,86,336
653,-25,-90,0,93,75
654,-45,82,0,93,298
655,-3,95,0,95,271
656,65,61,0,89,223
657,-19,92,0,93,281
658,86,-4,0,86,178
659,76,-46,0,88,149
660,-36,-86,0,93,68
661,-84,-21,0,86,15
662,53,-76,0,92,125
663,43,83,0,93,242
664,-16,-95,0,96,81
665,-59,71,0,92,309
666,42,84,0,93,243
667,85,-19,0,87,168
668,-79,39,0,88,333
669,-76,-46,0,88,32
670,-66,63,0,91,316
671,-78,-42,0,88,29
672,-73,52,0,89,324
673,-65,-65,0,91,45
674,39,86,0,94,245
675,1,-97,0,97,91
676,-87,3,0,87,358
677,63,68,0,92,227
678,-62,68,0,92,312
679,16,-95,0,96,100
680,13,-97,0,97,98
681,87,11,0,87,187
682,-9,-97,0,97,85
683,88,-3,0,88,179
684,88,-7,0,88,176
685,62,-68,0,92,133
686,-24,-94,0,97,76
687,-42,85,0,94,296
688,72,-57,0,91,142
689,55,-75,0,93,127
690,54,80,0,96,235
691,73,58,0,93,218
692,-64,-70,0,94,48
693,-4,98,0,98,272
694,78,50,0,92,212
695,88,19,0,90,192
696,-48,81,0,94,300
697,-89,2,0,89,358
698,85,29,0,89,198
699,-82,-39,0,90,26
700,-6,99,0,99,273
701,6,99,0,99,266
702,-45,-88,0,98,63
703,-3,-100,0,100,89
704,-63,-74,0,97,50
705,26,97,0,100,254
706,-75,-57,0,94,38
707,-72,57,0,91,321
708,89,-14,0,90,172
709,46,88,0,99,242
710,90,-11,0,90,174
711,35,-91,0,97,112
712,87,-23,0,89,166
713,59,78,0,97,232
714,61,-71,0,93,131
715,-89,22,0,91,346
716,76,-52,0,92,146
717,-86,30,0,91,340
718,67,-66,0,94,136
719,-17,98,0,99,279
720,-25,96,0,99,284
721,87,38,0,94,203
722,-76,-61,0,97,39
723,-88,26,0,91,343
724,88,36,0,95,202
725,72,-60,0,93,141
726,35,-92,0,98,111
727,-40,-93,0,101,67
728,82,50,0,96,211
729,-33,-96,0,101,72
730,-94,0,0,94,360
731,83,52,0,97,212
732,-89,25,0,92,344
733,-87,34,0,93,338
734,44,-87,0,97,117
735,-14,100,0,100,277
736,65,78,0,101,230
737,-69,63,0,93,317
738,69,73,0,100,226
739,-92,11,0,92,353
740,33,99,0,104,251
741,88,-31,0,93,161
742,45,-87,0,97,118
743,-80,-60,0,100,37
744,91,-23,0,93,166
745,68,76,0,101,228
746,-38,90,0,97,292
747,-94,3,0,94,358
748,42,-89,0,98,116
749,47,93,0,104,243
750,68,-67,0,95,136
751,-95,-22,0,97,14
752,-37,-99,0,105,70
753,-96,-15,0,97,9
754,-30,-100,0,104,74
755,72,74,0,103,225
756,-13,101,0,101,277
757,93,-18,0,94,170
758,-94,13,0,94,352
759,-56,-88,0,104,58
760,-63,-84,0,105,54
761,-42,-97,0,105,67
762,-93,21,0,95,347
763,-46,-95,0,105,65
764,0,104,0,104,270
765,43,-89,0,98,116
766,-52,83,0,97,302
767,96,28,0,100,196
768,74,-61,0,95,141
769,43,-89,0,98,116
770,-31,96,0,100,287
771,-99,-8,0,99,5
772,29,-97,0,101,107
773,-74,62,0,96,320
774,-85,45,0,96,332
775,70,79,0,105,228
776,-92,28,0,96,343
777,-99,-10,0,99,6
778,98,19,0,99,190
779,-93,26,0,96,344
780,-14,-105,0,105,83
781,-33,95,0,100,289
782,21,-100,0,102,102
783,30,-97,0,101,108
784,-6,104,0,104,273
785,-87,43,0,97,333
786,-99,-20,0,101,12
787,-49,86,0,98,299
788,43,99,0,107,246
789,-39,-100,0,107,69
790,93,-33,0,98,161
791,-8,104,0,104,274
792,-23,-104,0,106,78
793,-70,-82,0,107,50
794,-72,68,0,99,316
795,-3,105,0,105,271
796,-46,-98,0,108,65
797,95,49,0,106,207
798,72,81,0,108,228
799,57,-82,0,99,125
800,18,-103,0,104,100
801,67,87,0,109,232
802,101,29,0,105,196
803,62,91,0,110,235
804,100,34,0,105,198
805,62,-78,0,99,129
806,60,92,0,109,236
807,21,-101,0,103,102
808,90,60,0,108,213
809,60,92,0,109,236
810,-84,-72,0,110,41
811,98,47,0,108,205
812,-63,77,0,99,309
813,-74,67,0,99,317
814,98,47,0,108,205
815,-10,-107,0,107,85
816,104,7,0,104,183
817,-95,34,0,100,340
818,19,106,0,107,259
819,97,50,0,109,207
820,-106,-16,0,107,9
821,69,-74,0,101,133
822,98,51,0,110,207
823,-24,-106,0,108,78
824,-65,78,0,101,309
825,45,-91,0,101,117
826,42,102,0,110,247
827,-103,-36,0,109,20
828,-80,-78,0,111,45
829,-90,-65,0,111,36
830,101,49,0,112,205
831,14,-104,0,104,98
832,86,73,0,112,220
833,-91,47,0,102,332
834,-40,-103,0,110,69
835,58,-84,0,102,125
836,40,103,0,110,248
837,96,58,0,112,211
838,-95,38,0,102,338
839,-26,-106,0,109,77
840,105,41,0,112,201
841,24,108,0,110,257
842,-101,-51,0,113,27
843,-109,-9,0,109,5
844,24,-102,0,104,104
845,80,80,0,113,225
846,44,103,0,112,246
847,106,-12,0,106,174
848,56,-86,0,102,124
849,-100,31,0,104,342
850,108,-12,0,108,174
851,-52,-100,0,112,63
852,110,2,0,110,181
853,40,-96,0,104,113
854,91,-52,0,104,151
855,-61,-96,0,113,58
856,79,-68,0,104,140
857,44,104,0,112,247
858,8,109,0,109,265
859,100,-34,0,105,162
860,104,-30,0,108,164
861,65,-81,0,103,129
862,72,90,0,115,231
863,-111,-18,0,112,10
864,91,-55,0,106,149
865,-105,28,0,108,345
866,11,109,0,109,264
867,-40,-105,0,112,70
868,15,-105,0,106,99
869,-55,88,0,103,302
870,-101,-58,0,116,30
871,-22,104,0,106,281
872,57,-88,0,104,123
873,19,109,0,110,260
874,88,77,0,116,221
875,-70,-91,0,114,53
876,70,-78,0,104,132
877,55,-89,0,104,122
878,-109,-37,0,115,19
879,-111,-30,0,114,16
880,110,-20,0,111,170
881,-110,22,0,112,348
882,88,78,0,117,221
883,113,25,0,115,192
884,38,107,0,113,250
885,-2,-109,0,109,89
886,-51,-103,0,114,64
887,52,102,0,114,242
888,33,-101,0,106,109
889,-83,67,0,106,321
890,-74,-91,0,117,51
891,89,-63,0,109,145
