T,d
5000,-0.00476
5000,-0.00671
5000,-0.00499
5000,-0.00311
5000,-0.00425
5000,-0.00537
5000,-0.00538
5000,-0.00690
5000,-0.00434
5000,-0.00693
5000,-0.00573
5000,-0.00522
