T,d
5000,-0.05056
5000,0.02246
5000,-0.00756
5000,0.00042
5000,-0.05650
5000,-0.02148
5000,-0.05351
5000,0.01975
5000,-0.01971
5000,-0.00934
5000,0.01082
5000,-0.03906
5000,-0.04425
5000,-0.01801
5000,0.00427
5000,-0.06221
5000,-0.02969
5000,-0.00470
5000,0.00090
5000,-0.02026
5000,-0.06420
5000,-0.02452
5000,-0.02180
5000,-0.00117
5000,-0.07003
5000,-0.01254
5000,-0.02138
5000,0.00322
5000,0.02764
5000,-0.15973
5000,-0.01692
5000,-0.00741
5000,-0.01337
5000,-0.02778
5000,-0.06787
5000,-0.01652
5000,-0.07246
5000,-0.09122
5000,-0.05701
5000,-0.02313
5000,-0.03671
5000,-0.03291
5000,0.01372
5000,2.44186
5000,-0.03605
5000,-0.04558
5000,-0.06514
5000,0.00266
5000,-0.00441
5000,-0.02724
5000,-0.02471
5000,-0.03952
5000,-0.05238
5000,-0.02243
5000,-0.05456
5000,-0.00489
5000,-0.00722
5000,-0.00011
5000,0.00316
5000,-0.03819
5000,-0.01840
5000,0.01224
5000,-0.02930
5000,0.00058
5000,-0.03446
5000,-0.01253
