n,delta_barnes_hut,delta_energy,s
1000,0.500000,-0.02658,33.836
1000,0.500000,-0.02101,33.783
1000,0.500000,0.00017,33.978
1000,0.500000,-0.01518,34.128
1000,0.500000,-0.00850,35.555
1000,0.500000,-0.02758,34.604
1000,0.500000,-0.00130,34.792
1000,0.500000,-0.02441,33.577
1000,0.500000,-0.01838,33.547
1000,0.500000,-0.04666,34.069
1000,0.500000,0.00301,33.813
1000,0.500000,-0.02051,35.152
1000,0.500000,-0.00947,34.829
1000,0.500000,-0.01572,32.929
1000,0.500000,0.00114,34.382
1000,0.500000,-0.01490,33.414
1000,0.500000,-0.02884,34.536
1000,0.500000,-0.00536,35.201
1000,0.500000,-0.01054,32.330
1000,0.500000,0.00413,33.995
1000,0.500000,-0.01026,33.970
1000,0.500000,-0.00177,32.982
1000,0.500000,-0.01609,34.485
1000,0.500000,-0.01138,33.559
1000,0.500000,-0.02402,35.109
1000,0.500000,-0.00644,33.909
1000,0.500000,-0.02094,33.799
1000,0.500000,0.00306,34.751
1000,0.500000,-0.00860,35.604
1000,0.500000,-0.02370,32.754
1000,0.500000,-0.01148,34.002
1000,0.500000,-0.04005,32.545
1000,0.500000,-0.00596,33.593
1000,0.500000,-0.02578,34.723
1000,0.500000,-0.00864,33.931
1000,0.500000,0.00160,34.708
1000,0.500000,-0.01792,34.978
1000,0.500000,-0.02969,34.269
1000,0.500000,-0.00760,32.834
1000,0.500000,-0.02041,34.541
1000,0.500000,0.00234,34.693
1000,0.500000,-0.02301,33.283
1000,0.500000,-0.00611,35.055
1000,0.500000,0.00293,34.928
1000,0.500000,-0.00894,34.198
1000,0.500000,-0.01664,35.095
1000,0.500000,-0.02060,33.738
1000,0.500000,-0.01016,35.076
1000,0.500000,0.01886,34.147
1000,0.500000,-0.02553,34.005
1000,0.500000,-0.03451,34.838
1000,0.500000,-0.02052,33.882
1000,0.500000,-0.03240,34.012
1000,0.500000,-0.02078,33.728
1000,0.500000,-0.01380,35.318
1000,0.500000,0.00989,33.439
1000,0.500000,-0.00008,34.373
1000,0.500000,0.00529,32.642
1000,0.500000,-0.01290,34.801
1000,0.500000,-0.00410,34.527
1000,0.500000,-0.01815,34.024
1000,0.500000,-0.02242,34.450
1000,0.500000,0.00502,34.009
1000,0.500000,-0.02295,34.876
1000,0.500000,-0.01520,32.089
1000,0.500000,-0.01573,36.119
1000,0.500000,0.00566,34.532
1000,0.500000,0.00511,33.912
1000,0.500000,-0.01378,33.914
1000,0.500000,-0.00816,33.061
1000,0.500000,-0.01227,34.361
1000,0.500000,-0.00510,33.782
1000,0.500000,-0.01016,34.333
1000,0.500000,0.00634,34.436
1000,0.500000,-0.01663,34.150
1000,0.500000,-0.00878,34.613
1000,0.500000,-0.01024,34.180
1000,0.500000,-0.00758,34.507
1000,0.500000,-0.01729,34.398
1000,0.500000,-0.00290,34.859
